level_0,level_1,City,Hosp_Name,Hosp_Address,Score,index_x,Account_Num,Acct_Name_Lookup,index_y,Provider_Num,Reimbursement_Name_Lookup
4639,2221,1,1,1,3,4639,94995,CLAIBORNE MEDICAL CENTER_1850 OLD KNOXVILLE HIGHWAY_TAZEWELL_TN,2221,825914,CLAIBORNE MEDICAL CENTER_1850 OLD KNOXVILLE HIGHWAY_TAZEWELL_TN
3626,1062,1,1,1,3,3626,94953,LAKE CHARLES MEMORIAL HOSPITAL_1701 OAK PARK BLVD_LAKE CHARLES_LA,1062,819181,LAKE CHARLES MEMORIAL HOSPITAL_1701 OAK PARK BLVD_LAKE CHARLES_LA
3199,208,1,1,1,3,3199,94943,VALLEY PRESBYTERIAN HOSPITAL_15107 VANOWEN ST_VAN NUYS_CA,208,680596,VALLEY PRESBYTERIAN HOSPITAL_15107 VANOWEN ST_VAN NUYS_CA
4362,399,1,1,1,3,4362,94923,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL_1400 E BOULDER ST_COLORADO SPRINGS_CO,399,403151,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL_1400 E BOULDER ST_COLORADO SPRINGS_CO
1868,1683,1,0,1,2,1868,94887,NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL_506 SIXTH STREET_BROOKLYN_NY,1683,752284,NEW YORK METHODIST HOSPITAL_506 SIXTH STREET_BROOKLYN_NY
1965,1558,1,0,1,2,1965,94856,BAYSHORE MEDICAL CENTER_727 N BEERS ST_HOLMDEL_NJ,1558,817494,BAYSHORE COMMUNITY HOSPITAL_727 N BEERS ST_HOLMDEL_NJ
4738,1943,1,1,1,3,4738,94835,ALLIANCEHEALTH MIDWEST_2825 PARKLAWN DRIVE_MIDWEST CITY_OK,1943,270458,ALLIANCEHEALTH MIDWEST_2825 PARKLAWN DRIVE_MIDWEST CITY_OK
2071,846,1,1,1,3,2071,94816,LA PORTE HOSPITAL_1007 LINCOLNWAY_LA PORTE_IN,846,252069,LA PORTE HOSPITAL_1007 LINCOLNWAY_LA PORTE_IN
1477,1518,1,1,1,3,1477,94807,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY_865 STONE ST_RAHWAY_NJ,1518,544823,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY_865 STONE ST_RAHWAY_NJ
1237,2525,1,1,1,3,1237,94771,INOVA MOUNT VERNON HOSPITAL_2501 PARKERS LANE_ALEXANDRIA_VA,2525,245533,INOVA MOUNT VERNON HOSPITAL_2501 PARKERS LANE_ALEXANDRIA_VA
